"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ","Flow"
"215",2013-12-18,629,0.708,-0.345311185288417,6.44413125670044,629
"216",2013-12-21,5300,0.567,-0.567395975254385,8.57546209954021,5300
"218",2014-01-10,1050,0.729,-0.316081546973479,6.95654544315157,1050
"225",2014-03-07,630,0.421,-0.865122445299756,6.44571981938558,630
"227",2014-03-16,9150,0.589,-0.52932909533055,9.12150915826957,9150
"230",2014-04-04,3180,0.357,-1.0300194972025,8.06463647577422,3180
"231",2014-04-07,3820,0.374,-0.983499481567605,8.24800570160062,3820
"235",2014-05-09,644,0.236,-1.44392347395653,6.46769872610435,644
"236",2014-05-13,1740,0.205,-1.58474529984373,7.46164039220858,1740
"240",2014-06-10,296,0.251,-1.38230233985035,5.69035945432406,296
"249",2014-09-02,274,0.292,-1.23100147671386,5.61312810638807,274
"251",2014-09-17,51,0.168,-1.78379129957888,3.93182563272433,51
"252",2014-09-18,192,0.251,-1.38230233985035,5.25749537202778,192
"255",2014-10-03,65,0.182,-1.70374859190534,4.17438726989564,65
"257",2014-10-10,909,0.259,-1.3509272172826,6.81234509417748,909
"258",2014-10-13,5050,0.411,-0.889162064485903,8.52714352226941,5050
"261",2014-11-04,292,0.253,-1.37436579025462,5.67675380226828,292
"266",2014-12-17,551,0.24,-1.42711635564015,6.31173480915291,551
"1",2015-01-04,1720,0.39,-0.941608539858445,7.4500795698075,1720
"9",2015-03-05,1910,0.454,-0.789658080940789,7.55485852104068,1910
"103",2015-03-10,2080,0.467,-0.76142602131324,7.64012317269536,2080
"11",2015-03-14,6960,0.423,-0.860383099935859,8.84793475332846,6960
"132",2015-03-26,3560,0.374,-0.983499481567605,8.17751582384608,3560
"17",2015-04-24,583,0.169,-1.77785656405906,6.36818718635049,583
"191",2015-05-08,857,0.287,-1.24827306322252,6.75343791859778,857
"20",2015-05-11,13300,0.258,-1.35479569406052,9.49551931420985,13300
"211",2015-06-19,13000,0.167,-1.78976146656538,9.47270463644367,13000
