SITE,DATE,EffTP,EffQ
ROGERS,2005-09-22,2.02,9.7
ROGERS,2005-09-23,NA,10.2
ROGERS,2005-09-24,NA,9.4
ROGERS,2005-09-25,0.23,8.7
ROGERS,2005-09-26,0.33,10.3
ROGERS,2005-09-27,0.39,9.9
ROGERS,2005-09-28,0.48,8.8
ROGERS,2005-09-29,1.08,7.8
ROGERS,2005-09-30,NA,7.7
ROGERS,2005-10-01,NA,11.4
ROGERS,2005-10-02,3.45,9.4
ROGERS,2005-10-03,1.78,9.3
ROGERS,2005-10-04,1.20,8.9
ROGERS,2005-10-05,2.90,7.8
ROGERS,2005-10-06,3.52,10.4
ROGERS,2005-10-07,NA,8.1
ROGERS,2005-10-08,NA,7.9
ROGERS,2005-10-09,2.13,7.8
ROGERS,2005-10-10,1.83,8.9
ROGERS,2005-10-11,0.34,9.2
ROGERS,2005-10-12,0.37,9.2
ROGERS,2005-10-13,0.43,8.8
ROGERS,2005-10-14,NA,8.9
ROGERS,2005-10-15,NA,8.9
ROGERS,2005-10-16,0.76,8.7
ROGERS,2005-10-17,0.56,9.0
ROGERS,2005-10-18,0.72,8.8
ROGERS,2005-10-19,0.80,8.8
ROGERS,2005-10-20,1.05,8.3
ROGERS,2005-10-21,NA,7.8
ROGERS,2005-10-22,NA,7.9
ROGERS,2005-10-23,0.72,9.2
ROGERS,2005-10-24,0.75,10.4
ROGERS,2005-10-25,0.54,9.3
ROGERS,2005-10-26,0.45,9.2
ROGERS,2005-10-27,0.31,8.8
ROGERS,2005-10-28,NA,7.9
ROGERS,2005-10-29,NA,9.1
ROGERS,2005-10-30,0.32,8.3
ROGERS,2005-10-31,0.34,10.3
ROGERS,2005-11-01,0.64,9.8
ROGERS,2005-11-02,0.32,10.1
ROGERS,2005-11-03,0.23,9.6
ROGERS,2005-11-04,NA,9.5
ROGERS,2005-11-05,NA,7.9
ROGERS,2005-11-06,0.42,8.5
ROGERS,2005-11-07,0.31,9.6
ROGERS,2005-11-08,0.33,10.3
ROGERS,2005-11-09,1.08,9.2
ROGERS,2005-11-10,NA,9.7
ROGERS,2005-11-11,NA,9.5
ROGERS,2005-11-12,NA,7.8
ROGERS,2005-11-13,0.60,7.9
ROGERS,2005-11-14,0.24,9.9
ROGERS,2005-11-15,0.19,9.4
ROGERS,2005-11-16,0.29,8.9
ROGERS,2005-11-17,NA,9.2
ROGERS,2005-11-18,NA,8.8
ROGERS,2005-11-19,NA,9.1
ROGERS,2005-11-20,NA,8.5
ROGERS,2005-11-21,0.37,8.8
ROGERS,2005-11-22,0.18,9.0
ROGERS,2005-11-23,NA,8.7
ROGERS,2005-11-24,NA,8.5
ROGERS,2005-11-25,NA,7.4
ROGERS,2005-11-26,NA,7.4
ROGERS,2005-11-27,0.69,6.6
ROGERS,2005-11-28,0.26,9.7
ROGERS,2005-11-29,0.20,9.6
ROGERS,2005-11-30,0.16,9.3
ROGERS,2005-12-01,0.22,9.0
ROGERS,2005-12-02,NA,9.2
ROGERS,2005-12-03,NA,7.7
ROGERS,2005-12-04,0.23,8.4
ROGERS,2005-12-05,0.19,9.6
ROGERS,2005-12-06,0.20,7.5
ROGERS,2005-12-07,0.17,9.2
ROGERS,2005-12-08,0.19,7.6
ROGERS,2005-12-09,NA,8.5
ROGERS,2005-12-10,NA,8.8
ROGERS,2005-12-11,0.25,9.5
ROGERS,2005-12-12,0.30,9.1
ROGERS,2005-12-13,0.42,9.1
ROGERS,2005-12-14,0.38,8.8
ROGERS,2005-12-15,0.48,8.7
ROGERS,2005-12-16,NA,9.0
ROGERS,2005-12-17,NA,8.9
ROGERS,2005-12-18,0.38,8.8
ROGERS,2005-12-19,0.39,8.3
ROGERS,2005-12-20,0.15,7.9
ROGERS,2005-12-21,0.14,7.8
ROGERS,2005-12-22,NA,7.9
ROGERS,2005-12-23,NA,9.4
ROGERS,2005-12-24,NA,8.7
ROGERS,2005-12-25,NA,7.8
ROGERS,2005-12-26,0.18,8.3
ROGERS,2005-12-27,0.20,8.5
ROGERS,2005-12-28,0.18,8.2
ROGERS,2005-12-29,0.34,7.8
ROGERS,2005-12-30,NA,8.4
ROGERS,2005-12-31,NA,7.6
ROGERS,2006-01-01,NA,8.3
ROGERS,2006-01-02,0.38,7.7
ROGERS,2006-01-03,0.58,8.8
ROGERS,2006-01-04,NA,8.4
ROGERS,2006-01-05,0.54,8.3
ROGERS,2006-01-06,NA,8.7
ROGERS,2006-01-07,NA,8.8
ROGERS,2006-01-08,0.49,8.6
ROGERS,2006-01-09,0.50,8.2
ROGERS,2006-01-10,0.32,8.1
ROGERS,2006-01-11,0.30,8.7
ROGERS,2006-01-12,0.24,9.0
ROGERS,2006-01-13,NA,9.4
ROGERS,2006-01-14,NA,10.0
ROGERS,2006-01-15,0.35,10.8
ROGERS,2006-01-16,0.28,10.2
ROGERS,2006-01-17,0.31,8.6
ROGERS,2006-01-18,0.32,8.7
ROGERS,2006-01-19,0.41,7.5
ROGERS,2006-01-20,NA,8.4
ROGERS,2006-01-21,NA,9.4
ROGERS,2006-01-22,0.49,8.6
ROGERS,2006-01-23,0.29,7.8
ROGERS,2006-01-24,0.16,8.6
ROGERS,2006-01-25,0.13,8.6
ROGERS,2006-01-26,0.19,8.6
ROGERS,2006-01-27,NA,8.5
ROGERS,2006-01-28,NA,11.6
ROGERS,2006-01-29,0.94,10.9
ROGERS,2006-01-30,1.17,8.5
ROGERS,2006-01-31,0.30,8.6
ROGERS,2006-02-01,0.16,9.7
ROGERS,2006-02-02,0.19,9.5
ROGERS,2006-02-03,NA,8.0
ROGERS,2006-02-04,NA,9.2
ROGERS,2006-02-05,0.21,8.7
ROGERS,2006-02-06,0.20,8.7
ROGERS,2006-02-07,0.16,9.1
ROGERS,2006-02-08,0.17,8.8
ROGERS,2006-02-09,0.17,8.6
ROGERS,2006-02-10,NA,8.6
ROGERS,2006-02-11,NA,7.7
ROGERS,2006-02-12,0.16,8.1
ROGERS,2006-02-13,0.21,9.1
ROGERS,2006-02-14,0.21,9.3
ROGERS,2006-02-15,0.28,8.6
ROGERS,2006-02-16,0.26,8.0
ROGERS,2006-02-17,NA,9.0
ROGERS,2006-02-18,NA,7.7
ROGERS,2006-02-19,NA,7.5
ROGERS,2006-02-20,0.22,8.8
ROGERS,2006-02-21,0.20,9.3
ROGERS,2006-02-22,0.25,9.6
ROGERS,2006-02-23,0.23,9.2
ROGERS,2006-02-24,NA,9.4
ROGERS,2006-02-25,NA,8.9
ROGERS,2006-02-26,0.33,8.4
ROGERS,2006-02-27,0.36,8.4
ROGERS,2006-02-28,0.44,8.4
ROGERS,2006-03-01,0.49,9.0
ROGERS,2006-03-02,0.56,8.7
ROGERS,2006-03-03,NA,8.5
ROGERS,2006-03-04,NA,7.9
ROGERS,2006-03-05,0.58,7.3
ROGERS,2006-03-06,0.65,8.2
ROGERS,2006-03-07,0.40,8.7
ROGERS,2006-03-08,0.35,9.2
ROGERS,2006-03-09,0.36,13.7
ROGERS,2006-03-10,NA,10.5
ROGERS,2006-03-11,NA,11.5
ROGERS,2006-03-12,1.32,11.5
ROGERS,2006-03-13,1.10,10.8
ROGERS,2006-03-14,0.34,10.8
ROGERS,2006-03-15,0.39,10.8
ROGERS,2006-03-16,0.39,9.5
ROGERS,2006-03-17,NA,9.4
ROGERS,2006-03-18,NA,8.5
ROGERS,2006-03-19,0.35,8.5
ROGERS,2006-03-20,0.34,9.5
ROGERS,2006-03-21,0.28,10.1
ROGERS,2006-03-22,0.21,9.7
ROGERS,2006-03-23,0.22,10.0
ROGERS,2006-03-24,NA,8.9
ROGERS,2006-03-25,NA,7.9
ROGERS,2006-03-26,0.23,8.2
ROGERS,2006-03-27,0.37,8.9
ROGERS,2006-03-28,0.24,9.2
ROGERS,2006-03-29,0.20,6.5
ROGERS,2006-03-30,0.20,7.3
ROGERS,2006-03-31,NA,8.8
ROGERS,2006-04-01,NA,9.7
ROGERS,2006-04-02,0.21,10.5
ROGERS,2006-04-03,0.19,10.7
ROGERS,2006-04-04,0.17,10.3
ROGERS,2006-04-05,0.21,10.0
ROGERS,2006-04-06,0.17,9.5
ROGERS,2006-04-07,NA,10.2
ROGERS,2006-04-08,NA,8.8
ROGERS,2006-04-09,0.17,9.5
ROGERS,2006-04-10,0.19,10.5
ROGERS,2006-04-11,0.19,9.2
ROGERS,2006-04-12,0.28,7.3
ROGERS,2006-04-13,0.30,9.1
ROGERS,2006-04-14,NA,9.4
ROGERS,2006-04-15,NA,9.2
ROGERS,2006-04-16,0.54,9.3
ROGERS,2006-04-17,0.32,8.0
ROGERS,2006-04-18,0.37,7.4
ROGERS,2006-04-19,0.38,7.0
ROGERS,2006-04-20,0.23,7.4
ROGERS,2006-04-21,NA,6.8
ROGERS,2006-04-22,NA,7.8
ROGERS,2006-04-23,0.77,8.5
ROGERS,2006-04-24,1.05,11.3
ROGERS,2006-04-25,0.07,12.2
ROGERS,2006-04-26,0.17,11.9
ROGERS,2006-04-27,0.22,8.6
ROGERS,2006-04-28,NA,13.9
ROGERS,2006-04-29,NA,22.7
ROGERS,2006-04-30,0.28,19.2
ROGERS,2006-05-01,0.18,14.9
ROGERS,2006-05-02,0.35,12.3
ROGERS,2006-05-03,0.79,11.1
ROGERS,2006-05-04,0.82,20.6
ROGERS,2006-05-05,NA,13.6
ROGERS,2006-05-06,NA,11.9
ROGERS,2006-05-07,0.32,10.4
ROGERS,2006-05-08,0.41,10.6
ROGERS,2006-05-09,0.51,10.5
ROGERS,2006-05-10,NA,14.5
ROGERS,2006-05-11,0.24,13.5
ROGERS,2006-05-12,NA,12.1
ROGERS,2006-05-13,NA,10.7
ROGERS,2006-05-14,0.98,8.3
ROGERS,2006-05-15,0.33,10.1
ROGERS,2006-05-16,0.28,10.3
ROGERS,2006-05-17,0.46,9.9
ROGERS,2006-05-18,0.78,9.7
ROGERS,2006-05-19,NA,9.0
ROGERS,2006-05-20,NA,7.4
ROGERS,2006-05-21,1.09,8.1
ROGERS,2006-05-22,0.72,7.8
ROGERS,2006-05-23,0.73,7.8
ROGERS,2006-05-24,1.25,9.2
ROGERS,2006-05-25,0.54,9.7
ROGERS,2006-05-26,NA,8.7
ROGERS,2006-05-27,NA,7.5
ROGERS,2006-05-28,NA,8.9
ROGERS,2006-05-29,1.00,7.8
ROGERS,2006-05-30,0.38,7.6
ROGERS,2006-05-31,0.83,8.7
ROGERS,2006-06-01,1.03,11.1
ROGERS,2006-06-02,NA,14.0
ROGERS,2006-06-03,NA,9.3
ROGERS,2006-06-04,1.33,9.2
ROGERS,2006-06-05,1.84,9.8
ROGERS,2006-06-06,2.41,11.0
ROGERS,2006-06-07,4.39,11.0
ROGERS,2006-06-08,5.49,10.4
ROGERS,2006-06-09,NA,10.6
ROGERS,2006-06-10,NA,10.4
ROGERS,2006-06-11,1.98,10.2
ROGERS,2006-06-12,0.71,11.0
ROGERS,2006-06-13,0.92,9.8
ROGERS,2006-06-14,0.96,10.6
ROGERS,2006-06-15,0.46,7.4
ROGERS,2006-06-16,NA,10.1
ROGERS,2006-06-17,NA,8.7
ROGERS,2006-06-18,0.60,8.6
ROGERS,2006-06-19,0.21,10.1
ROGERS,2006-06-20,0.21,10.1
ROGERS,2006-06-21,0.27,10.1
ROGERS,2006-06-22,0.27,11.6
ROGERS,2006-06-23,NA,10.9
ROGERS,2006-06-24,NA,10.2
ROGERS,2006-06-25,0.25,9.2
ROGERS,2006-06-26,0.17,9.7
ROGERS,2006-06-27,0.19,9.1
ROGERS,2006-06-28,0.30,9.1
ROGERS,2006-06-29,0.38,7.4
ROGERS,2006-06-30,NA,8.5
ROGERS,2006-07-01,NA,9.0
ROGERS,2006-07-02,0.41,7.0
ROGERS,2006-07-03,0.51,7.5
ROGERS,2006-07-04,NA,8.3
ROGERS,2006-07-05,0.94,10.8
ROGERS,2006-07-06,1.77,9.9
ROGERS,2006-07-07,NA,9.6
ROGERS,2006-07-08,NA,7.9
ROGERS,2006-07-09,2.23,8.0
ROGERS,2006-07-10,1.77,8.6
ROGERS,2006-07-11,0.92,9.1
ROGERS,2006-07-12,1.62,10.4
ROGERS,2006-07-13,0.31,10.4
ROGERS,2006-07-14,NA,9.8
ROGERS,2006-07-15,NA,8.2
ROGERS,2006-07-16,0.90,8.1
ROGERS,2006-07-17,0.37,9.7
ROGERS,2006-07-18,0.27,9.1
ROGERS,2006-07-19,0.34,9.5
ROGERS,2006-07-20,0.59,9.6
ROGERS,2006-07-21,NA,9.4
ROGERS,2006-07-22,NA,9.0
ROGERS,2006-07-23,0.91,7.4
ROGERS,2006-07-24,0.29,9.1
ROGERS,2006-07-25,0.38,9.4
ROGERS,2006-07-26,0.55,8.7
ROGERS,2006-07-27,1.06,10.1
ROGERS,2006-07-28,NA,8.8
ROGERS,2006-07-29,NA,6.9
ROGERS,2006-07-30,0.73,7.2
ROGERS,2006-07-31,0.54,8.9
ROGERS,2006-08-01,0.87,9.4
ROGERS,2006-08-02,0.87,8.8
ROGERS,2006-08-03,0.24,8.3
ROGERS,2006-08-04,NA,8.8
ROGERS,2006-08-05,NA,9.2
ROGERS,2006-08-06,2.88,9.3
ROGERS,2006-08-07,1.00,8.8
ROGERS,2006-08-08,0.37,9.8
ROGERS,2006-08-09,0.64,8.7
ROGERS,2006-08-10,0.92,8.5
ROGERS,2006-08-11,NA,10.9
ROGERS,2006-08-12,NA,8.6
ROGERS,2006-08-13,1.98,8.3
ROGERS,2006-08-14,0.48,8.9
ROGERS,2006-08-15,0.32,8.6
ROGERS,2006-08-16,0.48,8.2
ROGERS,2006-08-17,0.69,8.3
ROGERS,2006-08-18,NA,9.1
ROGERS,2006-08-19,NA,8.0
ROGERS,2006-08-20,0.90,6.9
ROGERS,2006-08-21,0.61,9.3
ROGERS,2006-08-22,0.74,9.6
ROGERS,2006-08-23,1.60,9.2
ROGERS,2006-08-24,1.24,8.8
ROGERS,2006-08-25,NA,9.3
ROGERS,2006-08-26,NA,8.3
ROGERS,2006-08-27,1.72,10.0
ROGERS,2006-08-28,0.29,12.4
ROGERS,2006-08-29,0.40,10.2
ROGERS,2006-08-30,0.41,10.1
ROGERS,2006-08-31,0.81,10.7
ROGERS,2006-09-01,NA,9.2
ROGERS,2006-09-02,NA,9.1
ROGERS,2006-09-03,0.89,8.0
ROGERS,2006-09-04,0.62,7.7
ROGERS,2006-09-05,0.58,9.7
ROGERS,2006-09-06,0.51,9.8
ROGERS,2006-09-07,0.44,10.3
ROGERS,2006-09-08,NA,8.3
ROGERS,2006-09-09,NA,8.6
ROGERS,2006-09-10,0.89,8.8
ROGERS,2006-09-11,0.94,12.2
ROGERS,2006-09-12,0.54,13.2
ROGERS,2006-09-13,0.34,9.6
ROGERS,2006-09-14,0.32,9.0
ROGERS,2006-09-15,NA,10.1
ROGERS,2006-09-16,NA,10.0
ROGERS,2006-09-17,2.13,15.9
ROGERS,2006-09-18,0.50,13.2
ROGERS,2006-09-19,0.62,11.9
ROGERS,2006-09-20,0.79,11.5
ROGERS,2006-09-21,0.75,10.8
ROGERS,2006-09-22,NA,10.9
ROGERS,2006-09-23,NA,12.9
ROGERS,2006-09-24,0.62,11.1
ROGERS,2006-09-25,0.49,10.2
ROGERS,2006-09-26,0.47,10.1
ROGERS,2006-09-27,0.60,9.7
ROGERS,2006-09-28,0.48,9.3
ROGERS,2006-09-29,NA,9.9
ROGERS,2006-09-30,NA,10.7
ROGERS,2006-10-01,1.33,9.9
ROGERS,2006-10-02,0.96,8.5
ROGERS,2006-10-03,0.60,9.5
ROGERS,2006-10-04,1.25,11.3
ROGERS,2006-10-05,0.74,10.2
ROGERS,2006-10-06,NA,9.5
ROGERS,2006-10-07,NA,8.7
ROGERS,2006-10-08,0.46,8.4
ROGERS,2006-10-09,0.34,8.9
ROGERS,2006-10-10,1.03,10.9
ROGERS,2006-10-11,2.13,9.3
ROGERS,2006-10-12,2.63,9.5
ROGERS,2006-10-13,NA,7.5
ROGERS,2006-10-14,NA,9.0
ROGERS,2006-10-15,2.51,10.8
ROGERS,2006-10-16,0.94,14.0
ROGERS,2006-10-17,0.57,11.2
ROGERS,2006-10-18,0.62,11.1
ROGERS,2006-10-19,1.63,10.9
ROGERS,2006-10-20,NA,9.8
ROGERS,2006-10-21,NA,9.4
ROGERS,2006-10-22,0.65,9.2
ROGERS,2006-10-23,0.30,9.3
ROGERS,2006-10-24,0.20,10.1
ROGERS,2006-10-25,0.32,11.0
ROGERS,2006-10-26,0.22,10.2
ROGERS,2006-10-27,NA,10.0
ROGERS,2006-10-28,NA,8.7
ROGERS,2006-10-29,0.32,8.4
ROGERS,2006-10-30,0.25,9.6
ROGERS,2006-10-31,0.25,9.5
ROGERS,2006-11-01,0.69,9.0
ROGERS,2006-11-02,0.80,9.3
ROGERS,2006-11-03,NA,8.4
ROGERS,2006-11-04,NA,8.7
ROGERS,2006-11-05,0.49,10.5
ROGERS,2006-11-06,0.50,10.9
ROGERS,2006-11-07,0.70,10.7
ROGERS,2006-11-08,0.77,9.8
ROGERS,2006-11-09,NA,9.0
ROGERS,2006-11-10,NA,9.3
ROGERS,2006-11-11,NA,9.0
ROGERS,2006-11-12,0.91,9.5
ROGERS,2006-11-13,0.38,9.8
ROGERS,2006-11-14,0.79,9.8
ROGERS,2006-11-15,1.71,13.5
ROGERS,2006-11-16,2.74,13.3
ROGERS,2006-11-17,NA,12.2
ROGERS,2006-11-18,NA,10.9
ROGERS,2006-11-19,0.21,9.8
ROGERS,2006-11-20,0.23,10.0
ROGERS,2006-11-21,0.27,9.6
ROGERS,2006-11-22,NA,10.0
ROGERS,2006-11-23,NA,9.4
ROGERS,2006-11-24,NA,9.2
ROGERS,2006-11-25,NA,7.1
ROGERS,2006-11-26,0.30,8.3
ROGERS,2006-11-27,0.39,10.0
ROGERS,2006-11-28,0.52,9.7
ROGERS,2006-11-29,0.90,12.5
ROGERS,2006-11-30,0.86,23.8
ROGERS,2006-12-01,NA,23.0
ROGERS,2006-12-02,NA,20.1
ROGERS,2006-12-03,0.73,12.5
ROGERS,2006-12-04,0.30,11.4
ROGERS,2006-12-05,0.32,10.4
ROGERS,2006-12-06,0.42,10.7
ROGERS,2006-12-07,0.89,11.0
