Date,Precip_Inches
2014-01-03,0
2014-01-08,0
2014-01-09,0.28
2014-01-10,0
2014-01-13,0
2014-01-14,0
2014-01-16,0
2014-01-17,0
2014-01-21,0
2014-01-23,0
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
2014-02-03,0.1
2014-02-07,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-17,0
2014-02-18,0
2014-02-20,0
2014-02-24,0
2014-02-27,0
2014-02-28,0
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,1.35
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-08,0
2014-03-09,0.02
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-15,0
2014-03-16,0
2014-03-17,2.3
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-21,0
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0.14
2014-03-28,0
2014-03-29,0
2014-03-30,0
2014-03-31,0
2014-04-01,0.15
2014-04-02,0
2014-04-03,0
2014-04-04,0.92
2014-04-05,0
2014-04-06,0
2014-04-07,0.77
2014-04-08,0.1
2014-04-09,0.07
2014-04-10,0
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,0.44
2014-04-15,0
2014-04-16,0
2014-04-17,0
2014-04-18,0
2014-04-19,0
2014-04-20,0
2014-04-21,0
2014-04-22,0.37
2014-04-23,0
2014-04-24,0
2014-04-25,0.21
2014-04-26,0
2014-04-27,0
2014-04-28,0.38
2014-04-29,0
2014-04-30,0
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,0
2014-05-09,1.65
2014-05-10,0
2014-05-11,0
2014-05-12,0
2014-05-13,1.75
2014-05-14,0.4
2014-05-15,0
2014-05-16,0
2014-05-17,0.01
2014-05-18,0
2014-05-19,0
2014-05-20,0
2014-05-21,0
2014-05-22,0
2014-05-23,0
2014-05-24,0
2014-05-25,0
2014-05-26,0
2014-05-27,1.28
2014-05-28,0.1
2014-05-29,0
2014-05-30,0.12
2014-05-31,0.1
2014-06-01,0
2014-06-02,0.01
2014-06-03,0.65
2014-06-04,0
2014-06-05,0
2014-06-06,0.14
2014-06-07,1.15
2014-06-08,0
2014-06-09,0.5
2014-06-10,0.22
2014-06-11,0.3
2014-06-12,0
2014-06-13,0
2014-06-14,0
2014-06-15,0.65
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0.08
2014-06-21,0
2014-06-22,0.05
2014-06-23,0.05
2014-06-24,0
2014-06-25,0
2014-06-26,0.58
2014-06-27,0
2014-06-28,0
2014-06-29,0.05
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0.72
2014-07-12,0
2014-07-13,0
2014-07-14,0
2014-07-15,0.02
2014-07-16,0
2014-07-17,0
2014-07-18,0.12
2014-07-19,0
2014-07-20,0
2014-07-21,0
2014-07-22,0
2014-07-23,0
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0.53
2014-08-01,0.01
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,1.21
2014-08-08,0.05
2014-08-09,0
2014-08-10,0.35
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0.21
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0.76
2014-09-02,1.64
2014-09-03,0.64
2014-09-05,0
2014-09-09,0
2014-09-10,0
2014-09-11,0.21
2014-09-12,0
2014-09-15,0.15
2014-09-16,0
2014-09-17,0
2014-09-18,1.75
2014-09-19,0
2014-09-22,0.1
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0.19
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0.05
2014-10-10,2.35
2014-10-11,0
2014-10-12,0
2014-10-13,3.25
2014-10-14,0.17
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0.15
2014-10-21,0.02
2014-10-22,0
2014-10-23,0
2014-10-24,0.1
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,0.25
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-03,0
2014-11-05,0.4
2014-11-06,0
2014-11-07,0
2014-11-10,0
2014-11-12,0
2014-11-13,0
2014-11-14,0
2014-11-17,0
2014-11-18,0
2014-11-19,0
2014-11-20,0
2014-12-01,0
2014-12-02,0.01
2014-12-03,0
2014-12-04,0.05
2014-12-05,0.16
2014-12-06,0.82
2014-12-07,0
2014-12-08,0.01
2014-12-09,0
2014-12-10,0
2014-12-11,0.05
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,0.75
2014-12-16,0
2014-12-17,0
2014-12-18,0.8
2014-12-19,0.03
2014-12-20,0
2014-12-21,0
2014-12-22,0
2014-12-23,0.05
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,0.17
2014-12-28,0.07
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-01-01,0.01
2015-01-02,0.03
2015-01-03,0.36
2015-01-04,0.01
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0.07
2015-01-12,0.02
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,0.04
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-02,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-19,0
2015-02-20,0
2015-02-23,0
2015-02-24,0.02
2015-02-26,0
2015-02-27,0
2015-03-02,0
2015-03-04,0.15
2015-03-05,0.65
2015-03-06,0
2015-03-09,0
2015-03-10,0.61
2015-03-11,0
2015-03-13,0.09
2015-03-16,0
2015-03-17,0
2015-03-18,0.03
2015-03-19,0.51
2015-03-20,0.01
2015-03-23,0
2015-03-24,0
2015-03-25,0.05
2015-03-26,1.11
2015-03-30,0
2015-04-02,0
2015-04-03,0.15
2015-04-06,0.25
2015-04-08,0
2015-04-09,0
2015-04-10,0.55
2015-04-13,0
2015-04-14,0.91
2015-04-15,0.45
2015-04-16,0.05
2015-04-17,0.01
2015-04-20,0.3
2015-04-21,0
2015-04-24,0.33
2015-04-27,0.11
2015-04-28,0.08
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-04,0
2015-05-05,0
2015-05-06,0.26
2015-05-07,0
2015-05-08,2.02
2015-05-11,1.35
2015-05-12,0
2015-05-13,0
2015-05-14,0.12
2015-05-15,0
2015-05-18,0
2015-05-20,0.65
2015-05-21,0
2015-05-22,0
2015-05-27,0.03
2015-05-28,0
2015-05-29,2.23
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,1.01
2015-06-15,0.35
2015-06-16,1.2
2015-06-17,0.88
2015-06-18,0.4
2015-06-19,2.07
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0.95
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0.73
2015-07-04,0.49
2015-07-05,0.02
2015-07-06,0
2015-07-07,0
2015-07-08,2.44
2015-07-09,1.04
2015-07-10,2.05
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0.15
2015-07-22,3.5
2015-07-23,0.15
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-03,0
2015-08-04,0
2015-08-06,0.55
2015-08-10,0
2015-08-11,0
2015-08-13,0
2015-08-14,0
2015-08-17,0
2015-08-18,0
2015-08-19,1.8
2015-08-20,0.31
2015-08-21,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-08,0
2015-09-09,1.3
2015-09-10,0
2015-09-11,0.45
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-21,0.1
2015-09-22,0
2015-09-24,0
2015-09-25,0
2015-09-28,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0.06
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0.3
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0.85
2015-10-24,0.35
2015-10-25,0
2015-10-26,0
2015-10-27,0.05
2015-10-28,0.15
2015-10-29,0.12
2015-10-30,0
2015-10-31,0.42
2015-11-03,0
2015-11-04,0.02
2015-11-05,0.04
2015-11-06,1.16
2015-11-09,0
2015-11-10,0
2015-11-12,0
2015-11-13,0
2015-11-17,0.05
2015-11-18,2.91
2015-11-19,0
2015-11-23,0
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-05,0
2015-12-06,0
2015-12-07,0
2015-12-08,0
2015-12-09,0
2015-12-10,0
2015-12-11,0
2015-12-12,0.75
2015-12-13,0.94
2015-12-14,0.08
2015-12-15,0
2015-12-16,0.02
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0.31
2015-12-24,0
2015-12-25,0
2015-12-26,2.88
2015-12-27,7.16
2015-12-28,0.57
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-04,0
2016-01-05,0
2016-01-07,0.12
2016-01-11,0
2016-01-13,0
2016-01-15,0
2016-01-19,0
2016-01-21,0.15
2016-01-22,0
2016-01-26,0
2016-01-27,0
2016-02-01,0
2016-02-02,0.15
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0.02
2016-02-14,0
2016-02-15,0.01
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0.42
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-07,0
2016-03-08,0.75
2016-03-09,1.2
2016-03-10,0.41
2016-03-11,0.25
2016-03-14,0.03
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-21,0
2016-03-23,0
2016-03-24,0.75
2016-03-28,0
2016-03-29,0
2016-03-30,0
2016-03-31,0.4
2016-04-01,0
2016-04-04,0
2016-04-06,0
2016-04-07,0
2016-04-11,0.42
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-19,0.44
2016-04-20,0
2016-04-21,0
